Name,Area Coverage sqft per box,Weight kg per box,Unit,Billing sqft per box,Sqft Price
IZEC GREEN 12X12 PARK,7.75,12,Boxes,8,51
LIVON NERO 12X12 PARK,7.75,12,Boxes,8,51
SONICA WHITE 12X12 PARK,7.75,12,Boxes,8,51
STELLA GRIS 12X12 PARK,7.75,12,Boxes,8,51
STELLA WOOD 12X12 PARK,7.75,12,Boxes,8,51
ZUQA GREY 12X12 PARK,7.75,12,Boxes,8,51
TOBA MULTI 12X12 PARK,7.75,12,Boxes,8,0
,,,,,
EWC S TRP - WHITE,,,Pcs,,
Tank,,,Pcs,,
Seat cover,,,Pcs,,
orisa pan,,,Pcs,,
City pan,,,Pcs,,
p drop,,,Pcs,,
